#separator:tab
#html:true
#notetype:Basic
#deck column:1
#columns:Deck	Front	Back	Tags
#tags column:4
Coram Agents::Improvements	What is the CLAUDE.md / AGENTS.md / .cursor triplication problem (rec #2)?	The same conventions are authored three times by hand and have concretely diverged (e.g. logistics-core's .cursor dev-rules names stale ./tools/*.sh scripts and contradicts CLAUDE.md on Mac dev-container support).	triplication rationale
Coram Agents::Improvements	What single-source pattern already proven in Coram's repo does rec #2 cite as the model?	Corambot's REVIEW.md and the CI action both inject AGENTS.md + .claude/rules rather than copying them — three consumers, one source.	triplication precedent
Coram Agents::Improvements	How does rec #2 propose collapsing the config triplication?	Pick one authoritative source per concern; shrink CLAUDE.md to an onboarding stub that @AGENTS.md-imports the rest; replace .cursor duplicates with thin pointer files; add a missing AGENTS.md to logistics-app.	triplication recommendation
Coram Agents::Improvements	Why move oversized CLAUDE.md content into path-scoped rules (rec #3)?	Large CLAUDE.md files (frontend's is 354 lines) load entirely into context for any work in that tree; path-scoped rules load only when matching files are touched.	memory rationale
Coram Agents::Improvements	What is the recommended best-practice line limit for a CLAUDE.md file, per rec #3?	200 lines or fewer, with detail moved to path-scoped rules.	memory numbers
Coram Agents::Improvements	What mechanism lets path-scoped rules auto-load by file type (rec #3)?	.claude/rules/*.md files with a paths: glob frontmatter (as logistics-core already demonstrates).	memory mechanism
Coram Agents::Improvements	Why migrate legacy slash commands to the skills format (rec #4)?	Anthropic has merged commands into skills, so the legacy flat-file format is outdated; skills are cleanly packageable as plugins and let heavy review prompts use progressive disclosure.	commands-to-skills rationale
Coram Agents::Improvements	What stale model pins does rec #5 flag, and what should replace them?	CI pins like claude-opus-4-5-20251101 and claude-opus-4-6 are stale; update to claude-fable-5 (newest, June 2026) or claude-opus-4-8 if CI cost is a concern.	model-pins numbers
Coram Agents::Improvements	Why does rec #5 say the logistics-app pre-commit hook's unpinned 'haiku' alias is acceptable?	It auto-tracks the latest Haiku and is appropriately sized for a cheap advisory review.	model-pins rationale
Coram Agents::Improvements	Why add deny-list guardrails to settings.json (rec #7)?	settings.json files have no deny list; cut-release compensates by manually reading settings and aborting on dangerous commands — a guardrail the permission system should enforce, not skill instructions an agent could skip.	deny-list rationale
Coram Agents::Improvements	What shared deny-list baseline does rec #7 propose?	Bash(rm -rf *), Bash(git push --force*), Read(./.env*), Bash(sudo *), plus destructive infra commands (kubectl/aws/helm/terraform/gh release), shipped via managed settings or the org plugin.	deny-list recommendation
Coram Agents::Improvements	What key property makes permissions.deny stronger than skill-based guardrails (rec #7)?	Deny/ask lists are enforced before any tool runs and are not loosenable by hooks; enterprise managed settings can enforce them org-wide.	deny-list mechanism
Coram Agents::Improvements	In the suggested sequencing, which recs come first (Phase 1 Foundations) and why?	Recs 5 (model pins), 3 (trim memory), 4 (commands to skills) — cheap, local, immediate quality wins that prep for packaging.	sequencing
Coram Agents::Improvements	Why is the plugin marketplace (rec #1) sequenced in Phase 3 rather than first?	You must establish single sources of truth (Phase 2: de-dup, formal subagents, deny lists, MCP) before distributing them, so you package the now-clean config once and roll it out org-wide.	sequencing rationale
Coram Agents::Improvements	What goes in Phase 2 (Consolidate) of the suggested sequencing?	Recs 2 (de-dup guidance), 6 (formal subagents), 7 (deny lists), 9 (MCP) — establish single sources of truth before distributing them.	sequencing
Coram Agents::Claude Code Reference	What are the four scopes of CLAUDE.md memory files?	Project ./CLAUDE.md (committed), user ~/.claude/CLAUDE.md, local gitignored ./CLAUDE.local.md, and enterprise/managed (system path).	claude-code claude-md memory
Coram Agents::Claude Code Reference	How is CLAUDE.md precedence resolved, and when do nested subdir CLAUDE.md files load?	Root-to-cwd tree walk; nested subdir CLAUDE.md files load on demand when Claude reads files in that directory.	claude-code claude-md memory
Coram Agents::Claude Code Reference	What do @path imports do in CLAUDE.md, and what is their hop limit?	They pull other files into memory (max ~4 hops) — the mechanism for modular memory and for importing AGENTS.md.	claude-code claude-md imports
Coram Agents::Claude Code Reference	What is the recommended line limit per CLAUDE.md file, and where should overflow detail go?	Keep each file at roughly 200 lines or fewer; push detail into skills or path-scoped .claude/rules/*.md (glob frontmatter, loaded only on matching files).	claude-code claude-md best-practice
Coram Agents::Claude Code Reference	Which two frontmatter keys are required for a Claude Code subagent?	name and description (both required); all others like tools, model, memory are optional.	claude-code subagents frontmatter
Coram Agents::Claude Code Reference	What values can a subagent's model frontmatter key take?	opus, sonnet, haiku, or inherit.	claude-code subagents frontmatter
Coram Agents::Claude Code Reference	What does the subagent memory frontmatter key control, and what are its values?	It enables accumulating knowledge for the agent; values are user, project, or local. Best practice is memory: project.	claude-code subagents memory
Coram Agents::Claude Code Reference	What is progressive disclosure in Claude Code skills?	Only skill descriptions load into context until a skill is actually invoked, saving context.	claude-code skills progressive-disclosure
Coram Agents::Claude Code Reference	What does the skill frontmatter key disable-model-invocation: true do?	It makes the skill manual-only — it won't be auto-invoked by the model and must be run explicitly.	claude-code skills frontmatter
Coram Agents::Claude Code Reference	How do slash commands relate to skills in current Claude Code?	Slash commands are merged into skills; .claude/commands/*.md is legacy, and new work should use the skills format.	claude-code skills slash-commands
Coram Agents::Claude Code Reference	For a Claude Code hook of type command, what do exit codes 0 and 2 signal?	Exit 0 means OK (allow); exit 2 means block.	claude-code hooks
Coram Agents::Claude Code Reference	What are the five hook types in Claude Code?	command (default), http, prompt (LLM), agent (subagent), and mcp_tool.	claude-code hooks types
Coram Agents::Claude Code Reference	What is the precedence order for Claude Code settings, from highest to lowest?	Managed policy > CLI flags > settings.local.json (gitignored, personal) > settings.json (shared) > ~/.claude/settings.json (user).	claude-code settings precedence
Coram Agents::Claude Code Reference	What are the three permission lists in settings.json, and how do hooks and managed deny interact with them?	allow, deny, and ask lists. Hooks can tighten but not loosen permissions, and managed deny always wins.	claude-code settings permissions
Coram Agents::Claude Code Reference	What are the four MCP configuration scopes in Claude Code?	User (~/.claude.json), project (.mcp.json), subagent-inline (mcpServers frontmatter), and session (--mcp-config).	claude-code mcp scopes
Coram Agents::Claude Code Reference	What MCP transports does Claude Code support?	stdio, sse, http, and ws.	claude-code mcp transports
Coram Agents::Claude Code Reference	What file defines a Claude Code marketplace, and how do consumers add one?	.claude-plugin/marketplace.json lists the plugins; consumers run /plugin marketplace add <url>, then install/pin by SHA.	claude-code plugins marketplace
Coram Agents::Claude Code Reference	What does a Claude Code plugin bundle, and what file versions it?	It bundles skills/, agents/, hooks/hooks.json, .mcp.json, settings.json, bin/, etc., versioned via .claude-plugin/plugin.json.	claude-code plugins
Coram Agents::Claude Code Reference	What makes the Claude Agent SDK behave like Claude Code?	It runs the same engine and loads the same .claude/ config — providing built-in tools, subagents, hooks, MCP, sessions, permissions, memory, and worktree isolation.	claude-code agent-sdk
Coram Agents::Claude Code Reference	How can Claude Code use an existing AGENTS.md cross-tool standard file?	Symlink it (ln -s AGENTS.md CLAUDE.md) or import it (@AGENTS.md at the top of CLAUDE.md); maintain one source of truth and import rather than duplicate.	claude-code agents-md cross-tool
